Exporter Clean,Lotid,Sales Quantity,Sales Amount,Total Deductions,COMMISSION,FOB Liq,FOB per Case,Advances,Advance Pct Of FOB,% Commission
ECO,0001-0010239,1800.0,50850.0,2483.75,2034.0,46332.25,25.74013888888889,0.0,0.0,4.205411831597447
ECO,0001-0010317,1800.0,52245.0,2838.9700000000003,2089.7999999999997,47316.229999999996,26.286794444444443,0.0,0.0,4.229848057008426
ECO,0001-0010320,1798.0,51779.74,2443.79,2071.2,47264.75,26.287402669632925,0.0,0.0,4.198155705930462
ECO,0001-0010321,1800.0,52179.66,2514.13,2087.28,47578.25000000001,26.432361111111113,0.0,0.0,4.202673363195761
ECO,0001-0010325,1800.0,50757.74,2531.5699999999997,2030.3200000000002,46195.85,25.66436111111111,0.0,0.0,4.2099963567498735
ECO,0001-0010352,1800.0,54359.36,2681.01,2174.3999999999996,49503.95,27.50219444444444,0.0,0.0,4.207564676503797
ECO,0001-0010355,1800.0,0.0,2847.25,0.0,-2847.25,-1.5818055555555555,0.0,-0.0,-0.0
ECO,0001-0010361,1800.0,59926.4,2851.21,2397.2,54677.990000000005,30.376661111111115,0.0,0.0,4.200073622181547
ECO,0001-0010384,1800.0,51290.0,2516.55,2051.6,46721.85,25.95658333333333,0.0,0.0,4.206386876466603
ECO,0001-0010387,1800.0,0.0,2847.25,0.0,-2847.25,-1.5818055555555555,0.0,-0.0,-0.0
ECO,0001-0010444,1800.0,59045.58,2488.09,2361.8399999999997,54195.65000000001,30.10869444444445,0.0,0.0,4.175998616628849
ECO,0001-0010447,1800.0,58400.649999999994,3293.67,2336.0199999999995,52770.96,29.3172,0.0,0.0,4.23906372659144
ECO,0001-0010489,1800.0,59377.4,2507.95,2375.2,54494.25000000001,30.274583333333336,0.0,0.0,4.176583385279794
ECO,0001-0010562,1800.0,54061.55,3089.81,2161.31,48810.43000000001,27.116905555555558,0.0,0.0,4.240212321572699
ECO,0001-0010564,1800.0,53503.64,2525.75,2138.9999999999995,48838.89,27.132716666666667,0.0,0.0,4.195936709032091
ECO,0001-0010565,1800.0,53233.1,2384.25,2120.2,48728.65,27.071472222222223,0.0,0.0,4.169612488778015
ECO,0001-0010583,1800.0,59290.79,2567.52,2371.7200000000003,54351.55,30.195305555555557,0.0,0.0,4.181211696716357
ECO,0001-0010651,1800.0,53377.95,2529.89,2130.19,48717.869999999995,27.06548333333333,0.0,0.0,4.18932403714124
ECO,0001-0010653,1800.0,55035.0,2458.4700000000003,2201.3999999999996,50375.13,27.986183333333333,0.0,0.0,4.1870393500674155
ECO,0001-0010695,1800.0,59638.08,2482.33,2385.52,54770.23,30.427905555555558,0.0,0.0,4.173718304807478
